GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.api.error,ValidationErrorDetails,0,24,0,0,0,4,0,3,0,3
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.api.error,GlobalExceptionHandler,62,29,0,0,18,8,4,2,4,2
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.api,ProductController,86,28,4,0,16,7,8,2,6,2
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.validation,CosmicWordCheckValidator,0,30,0,2,0,5,0,4,0,3
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats,CosmoCatsApplication,5,3,0,0,2,1,1,1,1,1
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.integration,PriceRateClient,39,0,0,0,9,0,3,0,3,0
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.integration,PriceRateDTO,36,0,0,0,10,0,8,0,8,0
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.mapper,ProductMapper,0,5,0,0,0,1,0,1,0,1
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.mapper,ProductMapperImpl,4,67,2,2,2,19,2,3,0,3
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.application.impl,InMemoryProductService,0,88,0,2,0,18,0,7,0,6
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.dto,ProductDTO,0,45,0,0,0,13,0,13,0,13
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.domain.model,Order,24,0,0,0,7,0,7,0,7,0
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.domain.model,Product,0,66,0,0,0,17,0,14,0,14
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.domain.model,Category,17,0,0,0,5,0,5,0,5,0
Cosmo Cats Intergalactic Marketplace,com.cosmo.cats.domain.model,Cart,17,0,0,0,5,0,5,0,5,0
